TestImplementationGuide
=========================================

Generic: line 0, col 0, Error - Supressed messages file not found (NOTFOUND)
Generic: line 0, col 0, Warning - The canonical URL for an Implementation Guide must point directly to the implementation guide resource, not to the Implementation Guide as a whole (INVALID)
Generic: line 0, col 0, Warning - The Implementation Guide Resource id should be example.test.ig (BUSINESSRULE)
Generic: line 0, col 0, Warning - Unable to find ImplementationGuide.definition.resource.description for the resource ValueSet/ISiKLocationPhysicalType.  Descriptions are strongly encouraged if they cannot be inferred from the resource to allow proper population of the artifact list. (INVARIANT)
Generic: line 0, col 0, Warning - Unable to find ImplementationGuide.definition.resource.description for the resource ValueSet/ISiKValueSetExample.  Descriptions are strongly encouraged if they cannot be inferred from the resource to allow proper population of the artifact list. (INVARIANT)
Generic: line 0, col 0, Warning - Unable to find ImplementationGuide.definition.resource.description for the resource CodeSystem/CodeSystemExample.  Descriptions are strongly encouraged if they cannot be inferred from the resource to allow proper population of the artifact list. (INVARIANT)
Generic: line 0, col 0, Error - Unable to find ImplementationGuide.definition.resource.name for the resource Appointment/ISiKTerminExample.  Name is mandatory if it cannot be inferred from the resource to allow proper population of the artifact list. (REQUIRED)
Generic: line 0, col 0, Warning - Unable to find ImplementationGuide.definition.resource.description for the resource Appointment/ISiKTerminExample.  Descriptions are strongly encouraged if they cannot be inferred from the resource to allow proper population of the artifact list. (INVARIANT)
Generic: line 0, col 0, Error - Unable to find ImplementationGuide.definition.resource.name for the resource Appointment/ISiKTerminExampleExtendedICU.  Name is mandatory if it cannot be inferred from the resource to allow proper population of the artifact list. (REQUIRED)
Generic: line 0, col 0, Warning - Unable to find ImplementationGuide.definition.resource.description for the resource Appointment/ISiKTerminExampleExtendedICU.  Descriptions are strongly encouraged if they cannot be inferred from the resource to allow proper population of the artifact list. (INVARIANT)
Generic: line 0, col 0, Error - Unable to find ImplementationGuide.definition.resource.name for the resource Encounter/Fachabteilungskontakt.  Name is mandatory if it cannot be inferred from the resource to allow proper population of the artifact list. (REQUIRED)
Generic: line 0, col 0, Warning - Unable to find ImplementationGuide.definition.resource.description for the resource Encounter/Fachabteilungskontakt.  Descriptions are strongly encouraged if they cannot be inferred from the resource to allow proper population of the artifact list. (INVARIANT)
Generic: line 0, col 0, Error - Unable to find ImplementationGuide.definition.resource.name for the resource Encounter/FachabteilungskontaktBettenverlegung.  Name is mandatory if it cannot be inferred from the resource to allow proper population of the artifact list. (REQUIRED)
Generic: line 0, col 0, Warning - Unable to find ImplementationGuide.definition.resource.description for the resource Encounter/FachabteilungskontaktBettenverlegung.  Descriptions are strongly encouraged if they cannot be inferred from the resource to allow proper population of the artifact list. (INVARIANT)
Generic: line 0, col 0, Error - Unable to find ImplementationGuide.definition.resource.name for the resource Encounter/FachabteilungskontaktEntlassung.  Name is mandatory if it cannot be inferred from the resource to allow proper population of the artifact list. (REQUIRED)
Generic: line 0, col 0, Warning - Unable to find ImplementationGuide.definition.resource.description for the resource Encounter/FachabteilungskontaktEntlassung.  Descriptions are strongly encouraged if they cannot be inferred from the resource to allow proper population of the artifact list. (INVARIANT)
Generic: line 0, col 0, Error - Unable to find ImplementationGuide.definition.resource.name for the resource Encounter/FachabteilungskontaktFachbereichswechsel1.  Name is mandatory if it cannot be inferred from the resource to allow proper population of the artifact list. (REQUIRED)
Generic: line 0, col 0, Warning - Unable to find ImplementationGuide.definition.resource.description for the resource Encounter/FachabteilungskontaktFachbereichswechsel1.  Descriptions are strongly encouraged if they cannot be inferred from the resource to allow proper population of the artifact list. (INVARIANT)
Generic: line 0, col 0, Error - Unable to find ImplementationGuide.definition.resource.name for the resource Encounter/FachabteilungskontaktFachbereichswechsel2.  Name is mandatory if it cannot be inferred from the resource to allow proper population of the artifact list. (REQUIRED)
Generic: line 0, col 0, Warning - Unable to find ImplementationGuide.definition.resource.description for the resource Encounter/FachabteilungskontaktFachbereichswechsel2.  Descriptions are strongly encouraged if they cannot be inferred from the resource to allow proper population of the artifact list. (INVARIANT)
Generic: line 0, col 0, Error - Unable to find ImplementationGuide.definition.resource.name for the resource Encounter/FachabteilungskontaktMinimal2.  Name is mandatory if it cannot be inferred from the resource to allow proper population of the artifact list. (REQUIRED)
Generic: line 0, col 0, Warning - Unable to find ImplementationGuide.definition.resource.description for the resource Encounter/FachabteilungskontaktMinimal2.  Descriptions are strongly encouraged if they cannot be inferred from the resource to allow proper population of the artifact list. (INVARIANT)
Generic: line 0, col 0, Error - Unable to find ImplementationGuide.definition.resource.name for the resource Encounter/FachabteilungskontaktNormal.  Name is mandatory if it cannot be inferred from the resource to allow proper population of the artifact list. (REQUIRED)
Generic: line 0, col 0, Warning - Unable to find ImplementationGuide.definition.resource.description for the resource Encounter/FachabteilungskontaktNormal.  Descriptions are strongly encouraged if they cannot be inferred from the resource to allow proper population of the artifact list. (INVARIANT)
Generic: line 0, col 0, Error - Unable to find ImplementationGuide.definition.resource.name for the resource Encounter/FachabteilungskontaktStationaereAufnahme.  Name is mandatory if it cannot be inferred from the resource to allow proper population of the artifact list. (REQUIRED)
Generic: line 0, col 0, Warning - Unable to find ImplementationGuide.definition.resource.description for the resource Encounter/FachabteilungskontaktStationaereAufnahme.  Descriptions are strongly encouraged if they cannot be inferred from the resource to allow proper population of the artifact list. (INVARIANT)
Generic: line 0, col 0, Error - Unable to find ImplementationGuide.definition.resource.name for the resource Encounter/FachabteilungskontaktStationswechsel1.  Name is mandatory if it cannot be inferred from the resource to allow proper population of the artifact list. (REQUIRED)
Generic: line 0, col 0, Warning - Unable to find ImplementationGuide.definition.resource.description for the resource Encounter/FachabteilungskontaktStationswechsel1.  Descriptions are strongly encouraged if they cannot be inferred from the resource to allow proper population of the artifact list. (INVARIANT)
Generic: line 0, col 0, Error - Unable to find ImplementationGuide.definition.resource.name for the resource Encounter/FachabteilungskontaktStationswechsel2.  Name is mandatory if it cannot be inferred from the resource to allow proper population of the artifact list. (REQUIRED)
Generic: line 0, col 0, Warning - Unable to find ImplementationGuide.definition.resource.description for the resource Encounter/FachabteilungskontaktStationswechsel2.  Descriptions are strongly encouraged if they cannot be inferred from the resource to allow proper population of the artifact list. (INVARIANT)
